act,section,description
"THE BHARATIYA NYAYA SANHITA (BNS), 2023",1,"Short title, commencement and application."
"THE BHARATIYA NYAYA SANHITA (BNS), 2023",1(1),"This Act may be called the Bharatiya Nyaya Sanhita, 2023."
"THE BHARATIYA NYAYA SANHITA (BNS), 2023",1(2),"It shall come into force on such date as the Central Government may, by notification in the Official Gazette, appoint, and different dates may be appointed for different provisions of this Sanhita. "
"THE BHARATIYA NYAYA SANHITA (BNS), 2023",1(3),"Every person shall be liable to punishment under this Sanhita and not otherwise for every act or omission contrary to the provisions thereof, of which he shall be guilty within India"
"THE BHARATIYA NYAYA SANHITA (BNS), 2023",1(4),"Any person liable, by any law for the time being in force in India, to be tried for anoffence committed beyond India shall be dealt with according to the provisions of this Sanhita for any act committed beyond India in the same manner as if such act had been committed within India. "
"THE BHARATIYA NYAYA SANHITA (BNS), 2023",1(5),The provisions of this Sanhita shall also apply to any offence committed by—
"THE BHARATIYA NYAYA SANHITA (BNS), 2023",1(5)a, any citizen of India in any place without and beyond India;
"THE BHARATIYA NYAYA SANHITA (BNS), 2023",1(5)b,any person on any ship or aircraft registered in India wherever it may be;
"THE BHARATIYA NYAYA SANHITA (BNS), 2023",1(5)c,any person in any place without and beyond India committing offence targeting a computer resource located in India.
"THE BHARATIYA NYAYA SANHITA (BNS), 2023",1(6),"Nothing in this Sanhita shall affect the provisions of any Act for punishing mutiny and desertion of officers, soldiers, sailors or airmen in the service of the Government of India or the provisions of any special or local law. "
"THE BHARATIYA NYAYA SANHITA (BNS), 2023",10,"In all cases in which judgment is given that a person is guilty of one of several offences specified in the judgment, but that it is doubtful of which of these offences he is guilty, the offender shall be punished for the offence for which the lowest punishment is provided if the same punishment is not provided for all"
"THE BHARATIYA NYAYA SANHITA (BNS), 2023",100,"Whoever causes death by doing an act with the intention of causing death, or with the intention of causing such bodily injury as is likely to cause death, or with the knowledge that he is likely by such act to cause death, commits the offence of culpable homicide."
"THE BHARATIYA NYAYA SANHITA (BNS), 2023",101,"Except in the cases hereinafter excepted, culpable homicide is murder,––"
"THE BHARATIYA NYAYA SANHITA (BNS), 2023",101(a),if the act by which the death is caused is done with the intention of causing death; or
"THE BHARATIYA NYAYA SANHITA (BNS), 2023",101(b),if the act by which the death is caused is done with the intention of causing such bodily injury as the offender knows to be likely to cause the death of the person to whom the harm is caused; or
"THE BHARATIYA NYAYA SANHITA (BNS), 2023",101(c),if the act by which the death is caused is done with the intention of causing bodily injury to any person and the bodily injury intended to be inflicted is sufficient in the ordinary course of nature to cause death; or
"THE BHARATIYA NYAYA SANHITA (BNS), 2023",101(d),"if the person committing the act by which the death is caused, knows that it is so imminently dangerous that it must, in all probability, cause death, or such bodily injury as is likely to cause death, and commits such act without any excuse for incurring the risk of causing death or such injury as aforesaid."
"THE BHARATIYA NYAYA SANHITA (BNS), 2023",102,"If a person, by doing anything which he intends or knows to be likely to cause death, commits culpable homicide by causing the death of any person, whose death he neither intends nor knows himself to be likely to cause, the culpable homicide committed by the offender is of the description of which it would have been if he had caused the death of the person whose death he intended or knew himself to be likely to cause."
"THE BHARATIYA NYAYA SANHITA (BNS), 2023",103,Punishment for murder.
"THE BHARATIYA NYAYA SANHITA (BNS), 2023",103(1),"Whoever commits murder shall be punished with death or imprisonment for life, and shall also be liable to fine."
"THE BHARATIYA NYAYA SANHITA (BNS), 2023",103(2),"When a group of five or more persons acting in concert commits murder on the ground of race, caste or community, sex, place of birth, language, personal belief or any other similar ground each member of such group shall be punished with death or with imprisonment for life, and shall also be liable to fine."
"THE BHARATIYA NYAYA SANHITA (BNS), 2023",104,"Whoever, being under sentence of imprisonment for life, commits murder, shall be punished with death or with imprisonment for life, which shall mean the remainder of that person’s natural life."
"THE BHARATIYA NYAYA SANHITA (BNS), 2023",105,"Whoever commits culpable homicide not amounting to murder, shall be punished with imprisonment for life, or imprisonment of either description for a term which shall not be less than five years but which may extend to ten years, and shall also be liable to fine, if the act by which the death is caused is done with the intention of causing death, or of causing such bodily injury as is likely to cause death; or with imprisonment of either description for a term which may extend to ten years and with fine, if the act is done with the knowledge that it is likely to cause death, but without any intention to cause death, or to cause such bodily injury as is likely to cause death. "
"THE BHARATIYA NYAYA SANHITA (BNS), 2023",106,Causing death by negligence
"THE BHARATIYA NYAYA SANHITA (BNS), 2023",106(1),"Whoever causes death of any person by doing any rash or negligent act not amounting to culpable homicide, shall be punished with imprisonment of either description for a term which may extend to five years, and shall also be liable to fine; and if such act is done by a registered medical practitioner while performing medical procedure, he shall be punished with imprisonment of either description for a term which may extend to two years, and shall also be liable to fine."
"THE BHARATIYA NYAYA SANHITA (BNS), 2023",106(2),"Whoever causes death of any person by rash and negligent driving of vehicle not amounting to culpable homicide, and escapes without reporting it to a police officer or a Magistrate soon after the incident, shall be punished with imprisonment of either description of a term which may extend to ten years, and shall also be liable to fine."
"THE BHARATIYA NYAYA SANHITA (BNS), 2023",107,"If any child, any person of unsound mind, any delirious person or any person in a state of intoxication, commits suicide, whoever abets the commission of such suicide, shall be punished with death or imprisonment for life, or imprisonment for a term not exceeding ten years, and shall also be liable to fine."
"THE BHARATIYA NYAYA SANHITA (BNS), 2023",108,"If any person commits suicide, whoever abets the commission of such suicide, shall be punished with imprisonment of either description for a term which may extend to ten years, and shall also be liable to fine."
"THE BHARATIYA NYAYA SANHITA (BNS), 2023",109,Attempt to murder.
"THE BHARATIYA NYAYA SANHITA (BNS), 2023",109(1),"Whoever does any act with such intention or knowledge, and under such circumstances that, if he by that act caused death, he would be guilty of murder, shall be punished with imprisonment of either description for a term which may extend to ten years, and shall also be liable to fine; and if hurt is caused to any person by such act, the offender shall be liable either to imprisonment for life, or to such punishment as is hereinbefore mentioned."
"THE BHARATIYA NYAYA SANHITA (BNS), 2023",109(2),"When any person offending under sub-section (1) is under sentence of imprisonment for life, he may, if hurt is caused, be punished with death or with imprisonment for life, which shall mean the remainder of that person’s natural life."
"THE BHARATIYA NYAYA SANHITA (BNS), 2023",11,"Whenever any person is convicted of an offence for which under this Sanhita the Court has power to sentence him to rigorous imprisonment, the Court may, by its sentence, order that the offender shall be kept in solitary confinement for any portion or portions of the imprisonment to which he is sentenced, not exceeding three months in the whole, according to the following scale, namely:—"
"THE BHARATIYA NYAYA SANHITA (BNS), 2023",11(a),a time not exceeding one month if the term of imprisonment shall not exceed six months; 
"THE BHARATIYA NYAYA SANHITA (BNS), 2023",11(b), a time not exceeding two months if the term of imprisonment shall exceed six months and shall not exceed one year;
"THE BHARATIYA NYAYA SANHITA (BNS), 2023",11(c),a time not exceeding three months if the term of imprisonment shall exceed one year
"THE BHARATIYA NYAYA SANHITA (BNS), 2023",110,"Whoever does any act with such intention or knowledge and under such circumstances that, if he by that act caused death, he would be guilty of culpable homicide not amounting to murder, shall be punished with imprisonment of either description for a term which may extend to three years, or with fine, or with both; and, if hurt is caused to any person by such act, shall be punished with imprisonment of either description for a term which may extend to seven years, or with fine, or with both."
"THE BHARATIYA NYAYA SANHITA (BNS), 2023",111,Organised crime.
